seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_8ecfa7102bfdc978accaca76,ext_23ae4c5d9d8f2a8be363f2cc,external_seed:ext_23ae4c5d9d8f2a8be363f2cc,US,upcirclebeauty.com,UpCircle Beauty,Body Scrub with Coffee + Lemongrass,https://upcirclebeauty.com/products/coffee-body-scrub-with-lemongrass-200ml,https://upcirclebeauty.com/products/coffee-body-scrub-with-lemongrass-200ml,prod::external_seed::external_seed::ext_23ae4c5d9d8f2a8be363f2cc,ck_5ca14306e90b69f0ca48884c5779615a,category,true,approved,true,false,brand,sig_82b28455d7df7a1f79243cc8,pl_2f22e821d4021b2afb7df068,rf_2f22e821d4021b2afb7df068,true,"""2026-05-27T11:43:18.422Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_limited,,,ext_23ae4c5d9d8f2a8be363f2cc,true,false,not_expected_missing,,ready,,true,2,true,true,false,false,true,sellable:sig_82b28455d7df7a1f79243cc8,true,available,26,26,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
eps_c7524cc16752548d5dd06a85,ext_3584983333bdd1568bd59312,external_seed:ext_3584983333bdd1568bd59312,US,upcirclebeauty.com,UpCircle Beauty,RETURN + REFILL Peptide Serum with Custard Apple + Blood Orange - ON PAUSE,https://upcirclebeauty.com/products/peptide-serum-refill,https://upcirclebeauty.com/products/peptide-serum-refill,prod::external_seed::external_seed::ext_3584983333bdd1568bd59312,ck_deda68d23df07a37fe09c2e1b68c6c67,category,true,approved,true,false,brand,sig_6846eff67d20841d07ce07dc,pl_16c0faf0f9cad0651969901e,rf_16c0faf0f9cad0651969901e,true,"""2026-05-27T11:27:32.886Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_key_ingredients,,,ext_3584983333bdd1568bd59312,true,false,ready_hero,,flagged,default_option_size_evidence_missing_axis,true,1,true,true,false,false,true,sellable:sig_6846eff67d20841d07ce07dc,true,available,28,28,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
eps_9cceb54862b0ebca219849c7,ext_4a83a2638c6cb6ca3c3df9e2,external_seed:ext_4a83a2638c6cb6ca3c3df9e2,US,upcirclebeauty.com,UpCircle Beauty,Fennel + Cardamom Chai Cleansing Bar,https://upcirclebeauty.com/products/fennel-cardamom-chai-soap-bar,https://upcirclebeauty.com/products/fennel-cardamom-chai-soap-bar,prod::external_seed::external_seed::ext_4a83a2638c6cb6ca3c3df9e2,ck_db562060c9649ef4cee1ca0f7f243366,category,true,approved,true,false,brand,sig_6b4903ed828a444bad275d15,pl_e35f9ed1244a5b212cd27047,rf_e35f9ed1244a5b212cd27047,true,"""2026-05-27T11:43:18.422Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_limited,,,ext_4a83a2638c6cb6ca3c3df9e2,true,false,not_expected_missing,,no_visible_variant_axis,,true,1,true,true,false,false,true,sellable:sig_6b4903ed828a444bad275d15,true,available,10,10,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
eps_1394088a91beb8a1842a3e2f,ext_5f63056adbcee15d15e2aba1,external_seed:ext_5f63056adbcee15d15e2aba1,US,upcirclebeauty.com,UpCircle Beauty,Hand + Body Lotion with Bergamot Water,https://upcirclebeauty.com/products/hand-body-lotion-with-bergamot-water,https://upcirclebeauty.com/products/hand-body-lotion-with-bergamot-water,prod::external_seed::external_seed::ext_5f63056adbcee15d15e2aba1,ck_a012231079c7ad512a7096d35c4525bc,category,true,approved,true,false,brand,sig_e6dce3a7da796a617c2d87f0,pl_831ef2dc06e52611ec94e127,rf_831ef2dc06e52611ec94e127,true,"""2026-05-27T11:43:32.066Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_limited,,,ext_5f63056adbcee15d15e2aba1,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,false,false,true,sellable:sig_e6dce3a7da796a617c2d87f0,true,available,21,21,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
eps_cf3ed51499e5db55536e1ce7,ext_664b859ce2599a57c3f1f7ce,external_seed:ext_664b859ce2599a57c3f1f7ce,US,upcirclebeauty.com,UpCircle Beauty,Body Oil with Passion Fruit Oil,https://upcirclebeauty.com/products/natural-body-oil,https://upcirclebeauty.com/products/natural-body-oil,prod::external_seed::external_seed::ext_664b859ce2599a57c3f1f7ce,ck_7dbf86d2813befe627d4ec79c0ebeaca,category,true,approved,true,false,brand,sig_e434b90902740f110390a11d,pl_34353c60327a69c56ed0b8a5,rf_34353c60327a69c56ed0b8a5,true,"""2026-05-27T11:43:18.422Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_limited,,,ext_664b859ce2599a57c3f1f7ce,true,false,not_expected_missing,,no_visible_variant_axis,,true,2,true,true,false,false,true,sellable:sig_e434b90902740f110390a11d,true,available,21,21,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
eps_103c92b2eafaefa2e894f041,ext_6815bee1060ef71d9a99ce5b,external_seed:ext_6815bee1060ef71d9a99ce5b,US,upcirclebeauty.com,UpCircle Beauty,Cleansing Face Milk with Oat Powder + Aloe Vera,https://upcirclebeauty.com/products/oat-face-cleanser,https://upcirclebeauty.com/products/oat-face-cleanser,prod::external_seed::external_seed::ext_6815bee1060ef71d9a99ce5b,ck_0b54257673dcc286f00d8b869a13b7ff,category,true,approved,true,false,brand,sig_69612c2d0788a9296c85e6ef,pl_87c8aa61bd6e80c707f34959,rf_87c8aa61bd6e80c707f34959,true,"""2026-05-27T11:43:18.422Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_limited,,,ext_6815bee1060ef71d9a99ce5b,true,false,possibly_inci_guess,possibly_inci_guess,no_visible_variant_axis,,true,2,true,true,false,false,true,sellable:sig_69612c2d0788a9296c85e6ef,true,available,28,28,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
eps_e21db934c16318f289e20550,ext_714399863bd72a30bcc6259c,external_seed:ext_714399863bd72a30bcc6259c,US,upcirclebeauty.com,UpCircle Beauty,RETURN + REFILL Organic Face Oil with Coffee Extract - ON PAUSE,https://upcirclebeauty.com/products/face-oil-refill,https://upcirclebeauty.com/products/face-oil-refill,prod::external_seed::external_seed::ext_714399863bd72a30bcc6259c,ck_547b9d960cc02216f0a8cc20e0fb7ce1,category,true,approved,true,false,brand,sig_7834553b8631034342c17de0,pl_e0ff73306e3fd7529f309ba8,rf_e0ff73306e3fd7529f309ba8,true,"""2026-05-27T11:43:32.066Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_limited,,,ext_714399863bd72a30bcc6259c,true,false,not_expected_missing,,flagged,default_option_size_evidence_missing_axis,true,1,true,true,false,false,true,sellable:sig_7834553b8631034342c17de0,true,available,22,22,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
eps_2e5e868070dbfbba025ca87f,ext_719fa01081b88bf7472f06e1,external_seed:ext_719fa01081b88bf7472f06e1,US,upcirclebeauty.com,UpCircle Beauty,RETURN + REFILL Eye Cream with Hyaluronic Acid + Coffee - ON PAUSE,https://upcirclebeauty.com/products/eye-cream-refill,https://upcirclebeauty.com/products/eye-cream-refill,prod::external_seed::external_seed::ext_719fa01081b88bf7472f06e1,ck_67101844ed7343b2fc20fd27b345f83b,category,true,approved,true,false,brand,sig_1e670d62fb5c926faa81f4a8,pl_a69131f1086457a4d3efd797,rf_a69131f1086457a4d3efd797,true,"""2026-05-27T05:15:32.531Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_key_ingredients,,,ext_719fa01081b88bf7472f06e1,true,false,ready_hero,,flagged,default_option_size_evidence_missing_axis,true,1,true,true,false,false,true,sellable:sig_1e670d62fb5c926faa81f4a8,true,available,24,24,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
eps_851cdd86517958850aa83706,ext_96484ace25be03a8f8cb595d,external_seed:ext_96484ace25be03a8f8cb595d,US,upcirclebeauty.com,UpCircle Beauty,RETURN + REFILL Night Cream with Hyaluronic Acid + Niacinamide - ON PAUSE,https://upcirclebeauty.com/products/night-cream-refill,https://upcirclebeauty.com/products/night-cream-refill,prod::external_seed::external_seed::ext_96484ace25be03a8f8cb595d,ck_0a08b57560ad6ded61bf232cb1568f07,category,true,approved,true,false,brand,sig_79ea9d5db9a3c8e029fc54fe,pl_3b2a0b2bdfb20db85944422c,rf_3b2a0b2bdfb20db85944422c,true,"""2026-05-27T05:15:59.778Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_key_ingredients,,,ext_96484ace25be03a8f8cb595d,true,false,ready_hero,,flagged,default_option_size_evidence_missing_axis,true,1,true,true,false,false,true,sellable:sig_79ea9d5db9a3c8e029fc54fe,true,available,24,24,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
eps_431b335cc65aeedc5d59b59a,ext_c384be41af865ac0aecd06ed,external_seed:ext_c384be41af865ac0aecd06ed,US,upcirclebeauty.com,UpCircle Beauty,RETURN + REFILL Shampoo Crème with Pink Berry - ON PAUSE,https://upcirclebeauty.com/products/shampoo-creme-refill,https://upcirclebeauty.com/products/shampoo-creme-refill,prod::external_seed::external_seed::ext_c384be41af865ac0aecd06ed,ck_237cc85120e7bbdc41e27aa307652b79,category,true,approved,true,false,brand,sig_63579f497814c8fb0b10f4dc,pl_6a00efe4d3bdc8a1e7a7da76,rf_6a00efe4d3bdc8a1e7a7da76,true,"""2026-05-27T11:43:32.066Z""",,displayable,true,true,true,reviewed,official_pdp_reviewed_limited,,,ext_c384be41af865ac0aecd06ed,true,false,not_expected_missing,,flagged,default_option_size_evidence_missing_axis,true,1,true,true,false,false,true,sellable:sig_63579f497814c8fb0b10f4dc,true,available,22,22,true,false,,seed_content_blocked,missing:category,lane_2_seed_commerce_facts,npm run external-seeds:backfill:catalog -- --market US --domain upcirclebeauty.com --dry-run
