brand,domain,external_product_id,title,canonical_url,live_status,requested_fields,reason,priority
Active Drip,activedrip.com,ext_94e9169cdf21031b65f760c9,HA + PEPTIDES EYE CARE,https://activedrip.com/products/hyaluronic-acid-peptides-eye-contour,thin,official_full_inci,Live PDP remains thin because only key-ingredient/marketing content is available; full source-backed INCI is required.,high
Active Drip,activedrip.com,ext_833660ffbf5c744869351463,R-Q10 EYE CARE,https://activedrip.com/products/retinol-q10-anti-age-eye-contour,thin,official_full_inci,Live PDP remains thin because only key-ingredient/marketing content is available; full source-backed INCI is required.,high
Active Drip,activedrip.com,ext_daba06ea03080351d96dd6f9,CICA MILK DRIP,https://activedrip.com/products/cica-b5-recovery-serum,thin,official_full_inci,Live PDP remains thin because only key-ingredient/marketing content is available; full source-backed INCI is required.,high
Active Drip,activedrip.com,ext_eea9ddc94177c421b32a1ed5,C + E DRIP,https://activedrip.com/products/vitamin-c-e-serum,thin,official_full_inci,Live PDP remains thin because only key-ingredient/marketing content is available; full source-backed INCI is required.,high
Active Drip,activedrip.com,ext_edef015844086dd8eaa792b2,RETINOL DRIP,https://activedrip.com/products/retinol-anti-wrinkle-serum,thin,official_full_inci,Live PDP remains thin because only key-ingredient/marketing content is available; full source-backed INCI is required.,high
Active Drip,activedrip.com,ext_11509e4feaf83a2419d8c77d,KOJIC DRIP,https://activedrip.com/products/niacinamide-kojic-acid-glow-and-corrective-serum,thin,official_full_inci,Live PDP remains thin because only key-ingredient/marketing content is available; full source-backed INCI is required.,high
Active Drip,activedrip.com,ext_441b5d142009ef8ae5082262,HYDRATE DRIP,https://activedrip.com/products/hyaluronic-acid-b12-b5-serum,thin,official_full_inci,Live PDP remains thin because only key-ingredient/marketing content is available; full source-backed INCI is required.,high
Active Drip,activedrip.com,ext_7e270c8cb635a23a446a76f9,THE ICONIC MOISTURISER,https://activedrip.com/products/vitamin-c-hyaluronic-acid-moisturising-and-antioxidant-cream,thin,official_full_inci,Live PDP remains thin because only key-ingredient/marketing content is available; full source-backed INCI is required.,high
Coconut Matter,coconutmatter.com,ext_fda8be630c6dc79ef599df3c,NOURISHING HAND BALM,https://coconutmatter.com/products/nourishing-hand-balm,not_conversion_ready,"identity_confirmation,hero_image,overview_details,official_full_inci,how_to",Live PDP is not conversion-ready due identity/content hold plus missing ingredient and use-direction fields.,high
Coconut Matter,coconutmatter.com,ext_c840771410198f627d75673a,TINTED COCONUT LIP BALM,https://coconutmatter.com/products/tinted-coconut-lip-balm,thin,"official_full_inci,how_to",Live PDP remains thin because source-backed full INCI and use directions are missing.,high
Coconut Matter,coconutmatter.com,ext_a7f414cda657f8c5857fafe8,Goji Shake Shampoo Concentrate | For Treated Hair,https://coconutmatter.com/products/goji-shake-shampoo-concentrate,thin,"official_full_inci,how_to",Live PDP remains thin because source-backed full INCI and use directions are missing.,high
Coconut Matter,coconutmatter.com,ext_9518e81076efc5c5138214ee,Matcha Shake Shampoo Concentrate | For All Hair Types,https://coconutmatter.com/products/matcha-shake-shampoo-concentrate,thin,"official_full_inci,how_to",Live PDP remains thin because source-backed full INCI and use directions are missing.,high
Coconut Matter,coconutmatter.com,ext_57fe66e03e7b47b972b78c30,Oaty Shake Body Wash Concentrate,https://coconutmatter.com/products/oaty-shake-body-wash-concentrate,thin,"official_full_inci,how_to",Live PDP remains thin because source-backed full INCI and use directions are missing.,high
Coconut Matter,coconutmatter.com,ext_8982e4384c3bd70a5718c899,CLEAR LIP CARE,https://coconutmatter.com/products/clear-lip-care,thin,"official_full_inci,how_to",Live PDP remains thin because source-backed full INCI and use directions are missing.,high
