brand,domain,total_rows,p0_rows,p1_rows,p2_rows,p3_rows,acquisition_lanes,p0_acquisition_lanes,request_focus,p0_request_focus,sample_external_product_ids,sample_titles
Miss Nella,missnella.com,63,8,2,53,0,ingredient_evidence_review_request:2|canonical_parent_or_bundle_mapping_request:53|partner_full_inci_and_how_to_request:8,partner_full_inci_and_how_to_request:8,human INCI-grade evidence review for existing ingredient/source text; canonical parent / variant / bundle mapping; source evidence only after mapping is resolved; official full INCI / complete ingredients; official product-specific directions / how-to,official full INCI / complete ingredients; official product-specific directions / how-to,ext_cfbb0ca2b9d0c7b411793b0b|ext_6f491538dbf9a790b66cf269|ext_9431ebc91685248f841adc6d|ext_02f16f8ae0e642d8f6599640|ext_fb538b176ea055fb4e7a4f36,‘Cool Like Me’ Roll On Perfume|‘Sweet Like Me’ Roll On Perfume|Add Blueberry Smoothie - Deep Lilac
Moss & Noor,mossnoor.com,5,5,0,0,0,partner_how_to_request:1|partner_full_inci_and_how_to_request:4,partner_how_to_request:1|partner_full_inci_and_how_to_request:4,official product-specific directions / how-to; official full INCI / complete ingredients,official product-specific directions / how-to; official full INCI / complete ingredients,ext_a7ab937f43db2868c6f9e383|ext_83b8555768814cac5243aef1|ext_67472974111568c15ac3920d|ext_cf945cc7bfe99bf9864bd6df|ext_876342422f9629ea9363953c,After Workout Shower Gel – Clean Eucalyptus|After Workout Shower Gel – Crispy Cucumber 500 ml|After Workout Shower Gel – Fresh Grapefruit
OILUJ,oiluj.com,3,3,0,0,0,partner_full_inci_request:3,partner_full_inci_request:3,official full INCI / complete ingredients,official full INCI / complete ingredients,ext_ab35eb07e8635bb1e1be3ebf|ext_1493a61baf165a6c00e4977b|ext_07cfaab25950196c3ec1b5f3,"OILÙJ, Life Oil|OILÙJ, Life Oil: Organic Moringa/ French Lavender Blend|OILÙJ, Life Oil: Organic Moringa/Sandalwood Blend"
Linhart Smile Care,linhart.nyc,2,2,0,0,0,partner_full_inci_request:2,partner_full_inci_request:2,official full INCI / complete ingredients; confirm source-backed directions if retained; official product description,official full INCI / complete ingredients; confirm source-backed directions if retained; official product description,ext_aa24dcd6cf3888a68f222281|ext_e795b1a17f6222e44dfb3dfd,Linämel Toothpaste|Tooth Whitener Gel
Baie Botanique,baiebotanique.com,1,1,0,0,0,partner_how_to_request:1,partner_how_to_request:1,official product-specific directions / how-to,official product-specific directions / how-to,ext_60ded78effb04e9d6389bfce,Rose & Cupuaçu Enzyme Cleanser
Byra,byrabeauty.com,1,1,0,0,0,partner_full_inci_and_how_to_request:1,partner_full_inci_and_how_to_request:1,official full INCI / complete ingredients; official product-specific directions / how-to,official full INCI / complete ingredients; official product-specific directions / how-to,ext_d2be72abe173e52d5baa6879,Deep Calm - Eau De Parfum 30ml
UpCircle Beauty,upcirclebeauty.com,5,0,0,0,5,non_formula_or_terminal_hold_candidate:5,,taxonomy confirmation only; no INCI/how-to request unless formula eligibility is proven,,ext_092b6aa9139491c529586778|ext_08c2ddfec1c05e891513988b|ext_ab96b5d595d2fcba9ab8e9b6|ext_f79a99a09a933e731880cdfb|ext_48bff725ea55adb2e644f108,Bamboo Cotton Buds - 200 Pieces|Organic Muslin Face Cloths|Refill Safety Razor Blades – Pack Of 10
786 Cosmetics,786cosmetics.com,1,0,0,0,1,non_formula_or_terminal_hold_candidate:1,,taxonomy confirmation only; no INCI/how-to request unless formula eligibility is proven,,ext_e96da71bdfd3ec573a4642cd,Shipping Protection
RMS Beauty,dermstore.com,1,0,1,0,0,retailer_offer_attachment_candidate:1,,canonical product / retailer-offer attachment mapping; official brand source evidence if retained,,ext_1cc14ab28dee629b0bb1d3db,RMS Beauty Radiance Lock Setting Mist 100ml
RMS Beauty,rmsbeauty.com,1,0,0,0,1,non_formula_or_terminal_hold_candidate:1,,taxonomy confirmation only; no INCI/how-to request unless formula eligibility is proven,,ext_9ed40a265f7b8f06d4c05645,The Artist Toolkit
