seed_id,external_product_id,source_listing_ref,market,domain,brand,title,canonical_url,destination_url,attached_product_key,content_key,seed_missing_fields,identity_exists,identity_status,identity_live_read_enabled,identity_review_required,identity_source_tier,sellable_item_group_id,product_line_id,review_family_id,kb_exists,kb_last_success_at,kb_last_error,kb_direct_status,kb_direct_displayable,kb_direct_high_quality_ready,kb_direct_human_reviewed,kb_direct_quality_state,kb_direct_evidence_profile,kb_direct_issues,kb_direct_blocking_issues,kb_effective_product_id,kb_effective_high_quality_ready,kb_borrowed_from_sibling,active_ingredients_status,active_ingredients_issues,variant_status,variant_issues,catalog_attached,catalog_offer_count,index_pipeline_state_exists,index_serving_eligible,db_serving_ready,external_index_published,commerce_doc_public,commerce_doc_id,commerce_doc_has_pivota_insight_summary,commerce_doc_pivota_insight_status,commerce_doc_price_min,commerce_doc_price_max,commerce_doc_external_offer_exists,terminal_hold,terminal_hold_reason,main_blocker,blocker_detail,recommended_lane,next_command
eps_e13857348e5a4162b20cbdb9,ext_a5b987fc8aaf5f746b522ada,external_seed:ext_a5b987fc8aaf5f746b522ada,US,sigmabeauty.com,sigma beauty,Polish & Perfect Brush Set,https://sigmabeauty.com/products/the-polish-perfect-brush-set,https://sigmabeauty.com/products/the-polish-perfect-brush-set,prod::external_seed::external_seed::ext_a5b987fc8aaf5f746b522ada,ck_7d512d6751437691748a5843558e6cef,,true,approved,true,false,brand,sig_c97230142c8140c1f33240cb,pl_10ae7d24f045720b3479d802,rf_10ae7d24f045720b3479d802,true,"""2026-06-01T03:14:27.004Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_a5b987fc8aaf5f746b522ada,true,false,not_applicable_product_family,,no_visible_variant_axis,,true,2,true,true,true,false,true,sellable:sig_c97230142c8140c1f33240cb,true,available,138,138,true,false,,db_serving_ready,,ready_no_action,
eps_155a99f1ccdb473a8e576235,ext_f4ca7bdecaa68310675ac54d,external_seed:ext_f4ca7bdecaa68310675ac54d,US,sigmabeauty.com,sigma beauty,F26 Domed Concealer Brush,https://sigmabeauty.com/products/f26-domed-concealer,https://sigmabeauty.com/products/f26-domed-concealer,prod::external_seed::external_seed::ext_f4ca7bdecaa68310675ac54d,ck_7807b850416ac21cb4158a55aa488b6f,,true,approved,true,false,brand,sig_f1f30435d67c6c79e65a0a62,pl_b9deae0363b069a0e6f9646f,rf_b9deae0363b069a0e6f9646f,true,"""2026-06-01T03:14:27.004Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_f4ca7bdecaa68310675ac54d,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_f1f30435d67c6c79e65a0a62,true,available,34,34,true,false,,db_serving_ready,,ready_no_action,
eps_2a834b303e154953ac8dc13a,ext_f0c0337789be945a8b85a360,external_seed:ext_f0c0337789be945a8b85a360,US,sigmabeauty.com,sigma beauty,Essential Travel Brush Set,https://sigmabeauty.com/products/essential-travel-brush-set,https://sigmabeauty.com/products/essential-travel-brush-set,prod::external_seed::external_seed::ext_f0c0337789be945a8b85a360,ck_c1fad1108eac5cc1636c5f73871ff05a,,true,approved,true,false,brand,sig_5fb0081594135848d1daeba4,pl_da84326b31c27c92119fd812,rf_da84326b31c27c92119fd812,true,"""2026-06-01T03:14:27.004Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_f0c0337789be945a8b85a360,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_5fb0081594135848d1daeba4,true,available,135,135,true,false,,db_serving_ready,,ready_no_action,
eps_35d4dec8d7de4878a606836f,ext_2fa17c7f0417769ff2e9abb8,external_seed:ext_2fa17c7f0417769ff2e9abb8,US,sigmabeauty.com,sigma beauty,Sigma x Face Foundrié Beautiful Base Set,https://sigmabeauty.com/products/sigma-x-face-foundrie-beautiful-base-set,https://sigmabeauty.com/products/sigma-x-face-foundrie-beautiful-base-set,prod::external_seed::external_seed::ext_2fa17c7f0417769ff2e9abb8,ck_38ba79520d1afa202d7f0bc492ff613b,,true,approved,true,false,brand,sig_1755e0bf1e5e2e29bcb39b55,pl_61dae764895632679e354e21,rf_61dae764895632679e354e21,true,"""2026-06-01T03:14:27.004Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_2fa17c7f0417769ff2e9abb8,true,false,not_applicable_product_family,,ready,,true,2,true,true,true,false,true,sellable:sig_1755e0bf1e5e2e29bcb39b55,true,available,65,65,true,false,,db_serving_ready,,ready_no_action,
eps_38b17a66408645d8ae514764,ext_d45ccb74956c1ef9c9637352,external_seed:ext_d45ccb74956c1ef9c9637352,US,sigmabeauty.com,sigma beauty,F08 Precision Powder Brush,https://sigmabeauty.com/products/f08-precision-powder,https://sigmabeauty.com/products/f08-precision-powder,prod::external_seed::external_seed::ext_d45ccb74956c1ef9c9637352,ck_a0da4bb800edde5d8503998a0cd8c9b4,,true,approved,true,false,brand,sig_1070c642344232e3836d598b,pl_cec2dcb67fd7b995430ae4a3,rf_cec2dcb67fd7b995430ae4a3,true,"""2026-06-01T03:14:27.004Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_d45ccb74956c1ef9c9637352,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_1070c642344232e3836d598b,true,available,36,36,true,false,,db_serving_ready,,ready_no_action,
eps_68f8f5851f9549ee8b0f9669,ext_d1d97a9ff67e0354f391856c,external_seed:ext_d1d97a9ff67e0354f391856c,US,sigmabeauty.com,sigma beauty,F23 Soft Angle Contour™ Brush,https://sigmabeauty.com/products/f23-soft-angled-contour,https://sigmabeauty.com/products/f23-soft-angled-contour,prod::external_seed::external_seed::ext_d1d97a9ff67e0354f391856c,ck_47bcb22d3c8e41bf8279f38dd93a5923,,true,approved,true,false,brand,sig_ac075db9f00771ad4c64f3e6,pl_e8dc24733c275a53bc7d1d5c,rf_e8dc24733c275a53bc7d1d5c,true,"""2026-06-01T03:14:27.004Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_d1d97a9ff67e0354f391856c,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_ac075db9f00771ad4c64f3e6,true,available,38,38,true,false,,db_serving_ready,,ready_no_action,
eps_8ee9e152272e4f49a66e9fe7,ext_b96a6d6c33e2547fc31aca0d,external_seed:ext_b96a6d6c33e2547fc31aca0d,US,sigmabeauty.com,sigma beauty,E28 Detailed Buffer™ Brush,https://sigmabeauty.com/products/e28-detail-buffer,https://sigmabeauty.com/products/e28-detail-buffer,prod::external_seed::external_seed::ext_b96a6d6c33e2547fc31aca0d,ck_c8d4d5f216abaf0ef8370c43233b7123,,true,approved,true,false,brand,sig_7a81ac1a49fd3c182a861e02,pl_3a062708f246fd19b9abf751,rf_3a062708f246fd19b9abf751,true,"""2026-06-01T03:14:27.004Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_b96a6d6c33e2547fc31aca0d,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_7a81ac1a49fd3c182a861e02,true,available,24,24,true,false,,db_serving_ready,,ready_no_action,
eps_c2f6a6fc7487418c88712603,ext_e09ac3e79003532a24a50e29,external_seed:ext_e09ac3e79003532a24a50e29,US,sigmabeauty.com,sigma beauty,F81 Blend Kabuki™ Brush,https://sigmabeauty.com/products/f81-blend-kabuki™-brush,https://sigmabeauty.com/products/f81-blend-kabuki™-brush,prod::external_seed::external_seed::ext_e09ac3e79003532a24a50e29,ck_aef1c7d552527ed234c7afafdbc73299,,true,approved,true,false,brand,sig_d7fb8e8f6e215a51f99b700b,pl_6b60c6fdeb25bd861ebe0cc4,rf_6b60c6fdeb25bd861ebe0cc4,true,"""2026-06-01T03:14:27.004Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_e09ac3e79003532a24a50e29,true,false,not_applicable_product_family,,ready,,true,1,true,true,true,false,true,sellable:sig_d7fb8e8f6e215a51f99b700b,true,available,14,14,true,false,,db_serving_ready,,ready_no_action,
eps_ca77c0c5a6c5486bbe0433a7,ext_a17b2f2ec278dd6d32210b21,external_seed:ext_a17b2f2ec278dd6d32210b21,US,sigmabeauty.com,sigma beauty,3DHD™ Blender,https://sigmabeauty.com/products/3dhdtm-blender,https://sigmabeauty.com/products/3dhdtm-blender,prod::external_seed::external_seed::ext_a17b2f2ec278dd6d32210b21,ck_dcd651d3acf86fc8dca60f68c8df13e8,,true,approved,true,false,brand,sig_776d6cb52d7eae9349793e75,pl_fe69e40476841991a80f5cc6,rf_fe69e40476841991a80f5cc6,true,"""2026-06-01T03:14:27.005Z""",,displayable,true,true,true,reviewed,official_pdp_seed,,,ext_a17b2f2ec278dd6d32210b21,true,false,not_expected_missing,,ready,,true,1,true,true,true,false,true,sellable:sig_776d6cb52d7eae9349793e75,true,available,21,21,true,false,,db_serving_ready,,ready_no_action,
eps_e2ba36a4a24541788df19667,ext_68f54cb97689f84e81809010,external_seed:ext_68f54cb97689f84e81809010,US,sigmabeauty.com,sigma beauty,Renew Lip Oil,https://sigmabeauty.com/products/renew-lip-oil,https://sigmabeauty.com/products/renew-lip-oil,prod::external_seed::external_seed::ext_68f54cb97689f84e81809010,ck_13d7ebc9bc2c81a069b2dadda31e949b,,true,approved,true,false,brand,sig_5c6184dc7afa8ad5b0643c09,pl_9394fb5a386ba7737a1ca252,rf_9394fb5a386ba7737a1ca252,true,"""2026-06-01T03:14:27.005Z""",,displayable,true,true,true,reviewed,seller_plus_formula,,,ext_68f54cb97689f84e81809010,true,false,not_expected_missing,active_raw_too_long|active_raw_may_be_full_inci,ready,,true,1,true,true,true,false,true,sellable:sig_5c6184dc7afa8ad5b0643c09,true,available,28,28,true,false,,db_serving_ready,,ready_no_action,
