priority,acquisition_lane,brand,domain,external_product_id,title,product_kind,quality_flags,blocker_code,identity_status,identity_ready,index_serving_eligible,product_intel_high_quality,price_amount,price_currency,availability,canonical_url,destination_url,dry_run_status,dry_run_http_status,dry_run_patch_keys,dry_run_ingredients_chars,dry_run_how_to_chars,dry_run_details_sections_count,requested_source_fields,reviewer_notes
P3,non_formula_or_terminal_hold_candidate,786 Cosmetics,786cosmetics.com,ext_e96da71bdfd3ec573a4642cd,Shipping Protection,beauty_formula,missing_or_short_description|missing_full_inci|missing_how_to,non_core_product,approved,true,false,false,2.99,USD,in_stock,https://786cosmetics.com/products/shipping-protection,https://786cosmetics.com/products/shipping-protection,dry_run,200,pdp_description_raw|pdp_details_sections,0,0,1,taxonomy confirmation only; no INCI/how-to request unless formula eligibility is proven,"Utility, accessory, book, service, or kit-like surface. Keep held unless product taxonomy confirms it belongs in beauty formula serving."
P0,partner_how_to_request,Baie Botanique,baiebotanique.com,ext_60ded78effb04e9d6389bfce,Rose & Cupuaçu Enzyme Cleanser,beauty_formula,missing_how_to,none,approved,true,true,true,39,USD,in_stock,https://www.baiebotanique.com/products/rose-cupuacu-enzyme-cleanser-sns,https://www.baiebotanique.com/products/rose-cupuacu-enzyme-cleanser-sns,skipped,200,,870,0,1,official product-specific directions / how-to,Beauty-formula row has INCI coverage but lacks source-backed product-specific directions. Request official directions/how-to.
P0,partner_full_inci_and_how_to_request,Byra,byrabeauty.com,ext_d2be72abe173e52d5baa6879,Deep Calm - Eau De Parfum 30ml,beauty_formula,missing_full_inci|missing_how_to,none,approved,true,true,true,63,USD,in_stock,https://byrabeauty.com/products/deep-calm-eau-de-parfum-30ml,https://byrabeauty.com/products/deep-calm-eau-de-parfum-30ml,dry_run,200,pdp_details_sections,0,0,1,official full INCI / complete ingredients; official product-specific directions / how-to,Beauty-formula row needs official full INCI and source-backed product-specific directions before promotion can be reconsidered.
P1,retailer_offer_attachment_candidate,RMS Beauty,dermstore.com,ext_1cc14ab28dee629b0bb1d3db,RMS Beauty Radiance Lock Setting Mist 100ml,beauty_formula,missing_full_inci,low_quality,approved,false,false,true,20.25,USD,in_stock,https://www.dermstore.com/p/rms-beauty-radiance-lock-setting-mist-100ml/15820047/,https://www.dermstore.com/p/rms-beauty-radiance-lock-setting-mist-100ml/15820047/,skipped,200,,0,0,0,canonical product / retailer-offer attachment mapping; official brand source evidence if retained,Retailer PDP should be resolved through canonical product / retailer-offer attachment design before serving; do not promote the Dermstore row as a standalone canonical beauty formula.
P0,partner_full_inci_request,Linhart Smile Care,linhart.nyc,ext_aa24dcd6cf3888a68f222281,Linämel Toothpaste,beauty_formula,missing_full_inci|missing_how_to,low_quality,approved,false,false,true,14,USD,in_stock,https://linhart.nyc/products/linamel-toothpaste,https://linhart.nyc/products/linamel-toothpaste,dry_run,200,pdp_how_to_use_raw|pdp_details_sections,0,346,2,official full INCI / complete ingredients; confirm source-backed directions if retained,"Extractor saw source-backed how-to/details, but no full INCI. Request complete official INCI first; how-to can be rechecked after source arrival."
P0,partner_full_inci_request,Linhart Smile Care,linhart.nyc,ext_e795b1a17f6222e44dfb3dfd,Tooth Whitener Gel,beauty_formula,missing_or_short_description|missing_full_inci|missing_how_to,low_quality,approved,false,false,true,28,USD,in_stock,https://linhart.nyc/products/toth-whitener-gel-1,https://linhart.nyc/products/toth-whitener-gel-1,dry_run,200,pdp_description_raw|pdp_how_to_use_raw,0,354,2,official full INCI / complete ingredients; confirm source-backed directions if retained; official product description,"Extractor saw source-backed how-to/details, but no full INCI. Request complete official INCI first; how-to can be rechecked after source arrival."
P1,ingredient_evidence_review_request,Miss Nella,missnella.com,ext_cfbb0ca2b9d0c7b411793b0b,‘Cool Like Me’ Roll On Perfume,beauty_formula,content_evidence_hold,content_evidence_hold,approved,true,false,true,10.3,USD,in_stock,https://www.missnella.com/products/cool-like-me-roll-on-oil-perfume,https://www.missnella.com/products/cool-like-me-roll-on-oil-perfume,skipped,200,,0,97,3,human INCI-grade evidence review for existing ingredient/source text,"Official page has some ingredient evidence, but the row remains on content_evidence_hold; a human reviewer should confirm whether the evidence is complete INCI-grade before any serving move."
P1,ingredient_evidence_review_request,Miss Nella,missnella.com,ext_6f491538dbf9a790b66cf269,‘Sweet Like Me’ Roll On Perfume,beauty_formula,content_evidence_hold,content_evidence_hold,approved,true,false,true,10.3,USD,in_stock,https://www.missnella.com/products/sweet-like-me-roll-on-oil-perfume,https://www.missnella.com/products/sweet-like-me-roll-on-oil-perfume,skipped,200,,0,97,3,human INCI-grade evidence review for existing ingredient/source text,"Official page has some ingredient evidence, but the row remains on content_evidence_hold; a human reviewer should confirm whether the evidence is complete INCI-grade before any serving move."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_9431ebc91685248f841adc6d,Add Blueberry Smoothie - Deep Lilac,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,6.49,USD,in_stock,https://www.missnella.com/products/blueberry-smoothie-deep-lilac,https://www.missnella.com/products/blueberry-smoothie-deep-lilac,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_02f16f8ae0e642d8f6599640,Add Blush?,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,5.39,USD,in_stock,https://www.missnella.com/products/add-blush,https://www.missnella.com/products/add-blush,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_fb538b176ea055fb4e7a4f36,Add Body Glitter?,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,true,8.1,USD,in_stock,https://www.missnella.com/products/add-body-glitter,https://www.missnella.com/products/add-body-glitter,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_d893e9b6d0da41c7c7e88a3b,Add Bubble Gum - Lilac,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,6.49,USD,in_stock,https://www.missnella.com/products/bubble-gum,https://www.missnella.com/products/bubble-gum,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_bd7750e02cfbb1f09468e1d6,Add Cheeky Bunny - Light Pink,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,6.49,USD,in_stock,https://www.missnella.com/products/add-cheeky-bunny-light-pink,https://www.missnella.com/products/add-cheeky-bunny-light-pink,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_0af0a85217a1844d7f8c4174,Add Cool Kid - Deep Blue,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,6.49,USD,in_stock,https://www.missnella.com/products/cool-kid-deep-blue,https://www.missnella.com/products/cool-kid-deep-blue,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_5d152578766f6dafde6361fb,Add Croco Dazzle - Glittery Red,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,6.49,USD,in_stock,https://www.missnella.com/products/croco-dazzle-glittery-red,https://www.missnella.com/products/croco-dazzle-glittery-red,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_1fc4f0b1653b5758dffae560,Add Eye Shadow?,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,5.39,USD,in_stock,https://www.missnella.com/products/add-eye-shadow,https://www.missnella.com/products/add-eye-shadow,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_03a1be488da4fcfb06118956,Add Field Trips - Green,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,6.49,USD,in_stock,https://www.missnella.com/products/field-trips,https://www.missnella.com/products/field-trips,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_e95d981ef7dc3b7520bd24d9,Add Galactic Unicorn - Deep Purple,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,6.49,USD,in_stock,https://www.missnella.com/products/galactic-unicorn-deep-purple,https://www.missnella.com/products/galactic-unicorn-deep-purple,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_dfc8cb7a965b06dd2aec3949,Add Lip Balm?,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,false,4.04,USD,in_stock,https://www.missnella.com/products/add-lip-balm,https://www.missnella.com/products/add-lip-balm,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
P2,canonical_parent_or_bundle_mapping_request,Miss Nella,missnella.com,ext_02231ffa7b089b4f9ba83a1f,Add Lip Gloss?,beauty_formula,missing_full_inci|missing_how_to,no_seed,review_required,false,false,true,6.5,USD,out_of_stock,https://www.missnella.com/products/add-lip-gloss-copy,https://www.missnella.com/products/add-lip-gloss-copy,dry_run,200,pdp_details_sections,0,0,1,canonical parent / variant / bundle mapping; source evidence only after mapping is resolved,"Looks like an add-on, wholesale pack, retail display, or 3-pack surface. Resolve parent/variant/bundle mapping before source recovery or serving."
